id,year,month,day,hour,total_riders,casual,registered,under_25,age_2635,age_3645,age_4655,over_55,commute,leisure,reason_na,employed,unemployed,student,na_employed
41,2011,1,2,17,65,7,58,43,17,1,3,1,60,1,4,7,7,50,1
42,2011,1,2,18,53,10,43,29,9,1,7,7,38,1,14,22,3,22,6
43,2011,1,2,19,30,1,29,11,8,4,0,7,25,1,4,4,1,14,11
44,2011,1,2,20,22,5,17,9,5,2,0,6,18,1,3,2,11,1,8
45,2011,1,2,21,31,11,20,19,8,0,4,0,28,1,2,2,2,25,2
46,2011,1,2,22,9,0,9,5,3,1,0,0,8,0,1,0,6,1,2
47,2011,1,2,23,8,0,8,6,1,0,1,0,7,0,1,0,0,8,0
48,2011,1,3,0,5,0,5,2,1,1,1,0,4,0,1,3,1,0,1
49,2011,1,3,1,2,0,2,1,1,0,0,0,2,0,0,0,0,1,1
50,2011,1,3,4,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
51,2011,1,3,5,3,0,3,2,1,0,0,0,3,0,0,1,0,2,0
52,2011,1,3,6,30,0,30,12,6,3,9,0,28,0,2,4,0,15,11
53,2011,1,3,7,64,1,63,31,20,2,3,8,50,3,11,51,5,8,0
54,2011,1,3,8,154,1,153,64,55,4,10,21,150,1,3,9,1,140,4
55,2011,1,3,9,88,7,81,43,35,9,1,0,77,2,9,48,1,39,0
56,2011,1,3,10,44,11,33,14,16,2,5,7,37,1,6,1,0,42,1
57,2011,1,3,11,51,10,41,21,15,4,2,9,41,1,9,2,3,40,6
58,2011,1,3,12,61,13,48,48,4,6,2,1,53,1,7,27,4,27,3
59,2011,1,3,13,61,8,53,24,28,1,5,3,54,0,7,2,13,24,22
60,2011,1,3,14,77,11,66,36,25,12,4,0,74,1,2,5,33,32,7
61,2011,1,3,15,72,14,58,41,16,2,2,11,68,1,3,1,10,30,31
62,2011,1,3,16,76,9,67,39,12,13,0,12,63,0,13,22,16,36,2
63,2011,1,3,17,157,11,146,56,31,8,13,49,154,0,3,50,35,44,28
64,2011,1,3,18,157,9,148,51,77,9,19,1,134,0,23,53,38,63,3
65,2011,1,3,19,110,8,102,44,31,8,4,23,88,3,19,17,2,85,6
66,2011,1,3,20,52,3,49,40,5,4,3,0,49,1,2,19,6,22,5
67,2011,1,3,21,52,3,49,37,7,6,2,0,52,0,0,7,0,44,1
68,2011,1,3,22,20,0,20,10,5,5,0,0,17,0,3,1,7,7,5
69,2011,1,3,23,12,1,11,6,3,2,1,0,11,0,1,0,1,11,0
70,2011,1,4,0,5,0,5,3,1,0,1,0,4,0,1,1,1,3,0
71,2011,1,4,1,2,0,2,1,1,0,0,0,2,0,0,1,0,1,0
72,2011,1,4,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
73,2011,1,4,4,2,0,2,1,0,1,0,0,2,0,0,1,0,1,0
74,2011,1,4,5,4,0,4,3,1,0,0,0,4,0,0,0,1,3,0
75,2011,1,4,6,36,0,36,11,17,6,2,0,32,1,3,15,3,4,14
76,2011,1,4,7,94,2,92,46,27,1,16,4,91,0,3,16,30,47,1
77,2011,1,4,8,179,2,177,124,29,2,6,18,137,10,32,20,1,148,10
78,2011,1,4,9,100,2,98,36,20,31,8,5,71,5,24,8,10,81,1
79,2011,1,4,10,42,5,37,33,7,1,1,0,34,2,6,23,3,12,4
80,2011,1,4,11,57,7,50,20,18,6,11,2,52,1,4,1,2,48,6
81,2011,1,4,12,78,12,66,42,14,2,14,6,72,1,5,30,0,47,1
82,2011,1,4,13,97,18,79,74,9,5,5,4,92,1,4,1,5,90,1
83,2011,1,4,14,63,9,54,46,14,1,1,1,60,0,3,2,15,45,1
84,2011,1,4,15,65,17,48,31,24,3,7,0,62,1,2,33,6,22,4
85,2011,1,4,16,83,15,68,59,8,3,1,12,70,3,10,64,3,8,8
86,2011,1,4,17,212,10,202,64,67,22,18,41,181,6,25,43,35,117,17
87,2011,1,4,18,182,3,179,79,73,5,2,23,131,15,36,25,8,91,58
88,2011,1,4,19,112,2,110,71,29,5,2,5,98,0,14,75,5,32,0
89,2011,1,4,20,54,1,53,38,9,0,3,4,48,1,5,7,18,26,3
90,2011,1,4,21,48,0,48,22,16,1,9,0,41,1,6,0,0,48,0
91,2011,1,4,22,35,1,34,24,7,1,3,0,31,1,3,16,2,15,2
92,2011,1,4,23,11,2,9,8,2,1,0,0,9,0,2,8,0,1,2
93,2011,1,5,0,6,0,6,4,1,1,0,0,5,0,1,1,2,3,0
94,2011,1,5,1,6,0,6,3,1,1,1,0,5,0,1,3,1,1,1
95,2011,1,5,2,2,0,2,1,0,0,1,0,2,0,0,1,0,1,0
96,2011,1,5,4,2,0,2,1,0,0,1,0,2,0,0,1,0,0,1
97,2011,1,5,5,3,0,3,1,1,0,1,0,3,0,0,0,1,0,2
98,2011,1,5,6,33,0,33,11,7,6,9,0,26,1,6,1,0,31,1
99,2011,1,5,7,88,1,87,60,18,3,6,1,77,1,10,4,1,63,20
100,2011,1,5,8,195,3,192,130,47,6,2,10,170,4,21,6,15,166,8
101,2011,1,5,9,115,6,109,44,55,4,0,12,85,5,25,17,29,39,30
102,2011,1,5,10,57,4,53,39,12,1,0,5,51,0,6,0,0,57,0
103,2011,1,5,11,46,12,34,16,20,2,4,4,44,0,2,4,0,40,2
104,2011,1,5,12,79,5,74,27,33,3,3,13,70,1,8,26,21,15,17
105,2011,1,5,13,71,6,65,37,25,2,1,6,70,0,1,7,0,41,23
106,2011,1,5,14,62,10,52,39,9,11,0,3,57,1,4,3,1,53,5
107,2011,1,5,15,62,7,55,22,14,22,1,3,57,0,5,3,0,55,4
108,2011,1,5,16,89,4,85,41,32,6,5,5,83,2,4,22,1,33,33
109,2011,1,5,17,190,4,186,147,28,3,3,9,144,8,38,39,5,102,44
110,2011,1,5,18,169,3,166,87,30,10,9,33,144,3,22,33,1,99,36
111,2011,1,5,19,132,5,127,68,21,1,8,34,113,0,19,12,26,46,48
112,2011,1,5,20,89,7,82,28,42,7,4,8,86,1,2,7,11,61,10
113,2011,1,5,21,43,3,40,32,4,3,4,0,42,0,1,23,10,1,9
114,2011,1,5,22,42,1,41,32,7,3,0,0,34,0,8,10,1,31,0
115,2011,1,5,23,19,1,18,7,9,1,2,0,17,0,2,6,2,10,1
116,2011,1,6,0,11,0,11,3,3,2,3,0,11,0,0,0,1,9,1
117,2011,1,6,1,4,0,4,2,1,1,0,0,4,0,0,2,1,1,0
118,2011,1,6,2,2,0,2,1,0,0,1,0,2,0,0,0,0,2,0
119,2011,1,6,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
120,2011,1,6,5,4,0,4,2,1,0,1,0,4,0,0,0,0,4,0
121,2011,1,6,6,36,0,36,18,8,2,8,0,36,0,0,7,5,0,24
122,2011,1,6,7,95,0,95,41,19,7,20,8,85,2,8,8,10,72,5
123,2011,1,6,8,219,3,216,73,104,6,27,9,165,15,39,166,6,12,35
124,2011,1,6,9,122,6,116,56,51,2,7,6,101,1,20,11,0,111,0
125,2011,1,6,10,45,3,42,35,7,0,1,2,38,1,6,12,4,19,10
126,2011,1,6,11,59,2,57,24,26,2,3,4,58,0,1,15,16,9,19
127,2011,1,6,12,84,6,78,45,28,6,4,1,73,3,8,48,1,34,1
128,2011,1,6,13,67,12,55,33,25,3,6,0,65,0,2,8,4,53,2
129,2011,1,6,14,70,11,59,30,25,5,1,9,56,1,13,19,1,43,7
130,2011,1,6,15,62,8,54,35,18,1,2,6,61,0,1,25,9,24,4
131,2011,1,6,16,86,12,74,30,32,6,3,15,75,3,8,22,17,18,29
132,2011,1,6,17,172,9,163,91,61,5,4,11,121,0,51,113,8,37,14
133,2011,1,6,18,163,5,158,121,19,0,15,8,158,0,5,52,31,75,5
134,2011,1,6,19,112,3,109,44,40,7,5,16,109,1,2,2,1,106,3
135,2011,1,6,20,69,3,66,42,11,3,8,5,64,1,4,28,1,36,4
136,2011,1,6,21,48,0,48,31,10,0,7,0,45,0,3,14,11,12,11
137,2011,1,6,22,52,1,51,26,12,11,3,0,50,0,2,3,1,21,27
138,2011,1,6,23,23,4,19,10,10,1,2,0,20,1,2,11,0,11,1
139,2011,1,7,0,17,4,13,13,3,0,1,0,16,0,1,0,9,3,5
140,2011,1,7,1,7,2,5,3,2,0,2,0,6,0,1,2,0,4,1
141,2011,1,7,2,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
142,2011,1,7,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
143,2011,1,7,5,5,0,5,2,2,1,0,0,4,0,1,1,0,2,2
144,2011,1,7,6,34,8,26,14,12,4,4,0,28,0,6,22,0,8,4
145,2011,1,7,7,84,8,76,49,11,6,13,5,67,1,16,22,38,6,18
146,2011,1,7,8,210,20,190,89,94,1,7,19,164,0,46,30,63,82,35
147,2011,1,7,9,134,9,125,69,33,2,10,20,96,7,31,25,31,71,7
148,2011,1,7,10,63,16,47,46,13,2,0,2,61,0,2,1,2,59,1
149,2011,1,7,11,67,19,48,27,24,7,1,8,67,0,0,15,0,51,1
150,2011,1,7,12,59,9,50,47,6,1,0,5,55,1,3,44,8,4,3
151,2011,1,7,13,73,9,64,30,19,2,12,10,63,2,8,7,4,54,8
152,2011,1,7,14,50,7,43,23,11,3,8,5,41,2,7,0,0,39,11
153,2011,1,7,15,72,9,63,29,26,1,10,6,58,1,13,19,7,34,12
154,2011,1,7,16,87,5,82,54,22,1,5,5,65,2,20,67,1,18,1
155,2011,1,7,17,187,9,178,57,97,7,0,26,138,7,42,49,3,129,6
156,2011,1,7,18,123,7,116,67,42,4,10,0,87,8,28,60,26,25,12
157,2011,1,7,19,95,3,92,29,41,5,9,11,85,2,8,5,18,59,13
158,2011,1,7,20,51,1,50,36,8,1,2,4,47,1,3,5,2,37,7
159,2011,1,7,21,39,0,39,21,13,0,5,0,39,0,0,20,11,6,2
160,2011,1,7,22,36,2,34,16,15,5,0,0,30,1,5,8,14,12,2
161,2011,1,7,23,15,1,14,5,5,3,2,0,13,0,2,0,0,14,1
162,2011,1,8,0,25,1,24,10,8,6,1,0,22,0,3,4,16,0,5
163,2011,1,8,1,16,1,15,10,4,1,1,0,14,1,1,2,2,11,1
164,2011,1,8,2,16,3,13,6,5,2,3,0,15,0,1,2,9,4,1
165,2011,1,8,3,7,0,7,3,3,0,1,0,7,0,0,5,1,0,1
166,2011,1,8,4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
167,2011,1,8,5,5,0,5,3,1,1,0,0,4,0,1,0,0,3,2
168,2011,1,8,6,2,0,2,1,0,1,0,0,2,0,0,0,1,1,0
169,2011,1,8,7,9,1,8,3,4,1,0,1,8,0,1,1,1,4,3
170,2011,1,8,8,15,0,15,9,4,2,0,0,13,0,2,1,0,14,0
171,2011,1,8,9,20,0,20,10,5,3,1,1,19,0,1,6,0,11,3
172,2011,1,8,10,61,5,56,33,9,1,5,13,54,2,5,8,1,52,0
173,2011,1,8,11,62,2,60,31,18,0,8,5,58,1,3,23,5,25,9
174,2011,1,8,12,98,8,90,30,46,1,17,4,98,0,0,14,0,82,2
175,2011,1,8,13,102,7,95,34,30,13,22,3,99,1,2,2,0,100,0
176,2011,1,8,14,95,12,83,51,15,9,10,10,87,0,8,21,40,7,27
177,2011,1,8,15,74,5,69,37,29,2,3,3,69,0,5,7,0,67,0
178,2011,1,8,16,76,8,68,50,16,4,1,5,57,5,14,16,3,25,32
179,2011,1,8,17,69,5,64,39,10,7,6,7,59,2,8,21,7,20,21
180,2011,1,8,18,55,3,52,36,12,1,5,1,46,2,7,14,1,34,6
181,2011,1,8,19,30,4,26,23,3,2,0,2,25,0,5,14,3,8,5
182,2011,1,8,20,28,0,28,9,7,6,4,2,27,0,1,20,1,5,2
183,2011,1,8,21,37,2,35,20,9,6,2,0,36,0,1,0,2,33,2
184,2011,1,8,22,34,1,33,14,11,5,4,0,33,0,1,23,1,9,1
185,2011,1,8,23,22,0,22,10,8,1,3,0,21,0,1,3,0,7,12
186,2011,1,9,0,25,1,24,18,5,1,1,0,20,0,5,0,2,23,0
187,2011,1,9,1,12,0,12,8,2,0,2,0,10,1,1,0,0,12,0
188,2011,1,9,2,11,0,11,8,2,0,1,0,11,0,0,3,0,6,2
189,2011,1,9,3,4,0,4,2,1,0,1,0,4,0,0,0,1,3,0
190,2011,1,9,4,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
191,2011,1,9,5,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0
192,2011,1,9,6,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0
193,2011,1,9,7,6,1,5,3,2,0,1,0,6,0,0,1,2,3,0
194,2011,1,9,8,10,0,10,3,4,2,1,0,8,0,2,2,0,8,0
195,2011,1,9,9,19,0,19,8,8,2,0,1,18,0,1,2,3,9,5
196,2011,1,9,10,49,0,49,17,16,2,3,11,43,2,4,15,6,9,19
197,2011,1,9,11,49,2,47,28,11,1,6,3,43,0,6,8,11,12,18
198,2011,1,9,12,83,4,79,27,21,9,17,9,71,2,10,66,0,16,1
199,2011,1,9,13,75,6,69,56,9,2,4,4,63,3,9,14,20,26,15
200,2011,1,9,14,72,8,64,37,26,2,2,5,60,2,10,13,7,52,0
201,2011,1,9,15,82,5,77,55,16,2,2,7,67,1,14,12,8,60,2
202,2011,1,9,16,92,13,79,46,19,6,17,4,88,1,3,0,16,65,11
203,2011,1,9,17,62,3,59,48,4,3,6,1,62,0,0,10,5,25,22
204,2011,1,9,18,48,4,44,29,9,3,6,1,46,0,2,1,25,14,8
205,2011,1,9,19,41,1,40,25,12,1,2,1,41,0,0,3,12,23,3
206,2011,1,9,20,38,0,38,24,9,1,3,1,32,1,5,7,0,21,10
207,2011,1,9,21,20,1,19,11,7,1,1,0,18,0,2,10,0,8,2
208,2011,1,9,22,15,5,10,12,1,1,1,0,12,1,2,3,0,12,0
209,2011,1,9,23,6,0,6,3,2,1,0,0,5,0,1,1,1,2,2
210,2011,1,10,0,5,2,3,4,1,0,0,0,5,0,0,0,1,4,0
211,2011,1,10,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
212,2011,1,10,2,3,0,3,2,0,1,0,0,3,0,0,1,0,1,1
213,2011,1,10,3,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
214,2011,1,10,4,3,1,2,2,0,1,0,0,3,0,0,0,0,2,1
215,2011,1,10,5,3,0,3,1,1,0,1,0,3,0,0,0,1,1,1
216,2011,1,10,6,31,0,31,20,6,1,4,0,26,1,4,17,8,5,1
217,2011,1,10,7,77,2,75,47,21,6,1,2,65,1,11,25,18,2,32
218,2011,1,10,8,188,4,184,60,64,7,13,44,139,12,37,58,4,97,29
219,2011,1,10,9,94,2,92,65,13,6,3,7,78,1,15,52,24,12,6
220,2011,1,10,10,31,0,31,16,9,3,0,3,30,0,1,2,3,9,17
221,2011,1,10,11,30,2,28,19,8,1,0,2,29,0,1,1,4,21,4
222,2011,1,10,12,52,5,47,31,12,9,0,0,52,0,0,14,0,37,1
223,2011,1,10,13,54,4,50,38,5,1,2,8,51,0,3,41,2,3,8
224,2011,1,10,14,47,0,47,15,14,5,2,11,39,2,6,10,14,11,12
225,2011,1,10,15,45,2,43,34,8,1,0,2,38,2,5,21,0,23,1
226,2011,1,10,16,74,4,70,32,31,8,2,1,64,1,9,23,5,46,0
227,2011,1,10,17,178,4,174,92,39,3,10,34,128,6,44,63,6,107,2
228,2011,1,10,18,155,1,154,63,62,6,11,13,130,4,21,9,19,100,27
229,2011,1,10,19,95,3,92,57,25,6,4,3,80,3,12,0,1,94,0
230,2011,1,10,20,74,1,73,56,7,9,0,2,61,1,12,34,2,24,14
231,2011,1,10,21,38,1,37,20,14,2,2,0,32,0,6,19,3,13,3
232,2011,1,10,22,24,2,22,19,4,0,1,0,23,0,1,7,1,5,11
233,2011,1,10,23,18,0,18,10,5,2,1,0,16,0,2,4,2,12,0
234,2011,1,11,0,12,2,10,9,2,0,1,0,12,0,0,9,1,2,0
235,2011,1,11,1,3,0,3,2,1,0,0,0,3,0,0,1,0,2,0
236,2011,1,11,2,3,0,3,2,1,0,0,0,3,0,0,1,0,2,0
237,2011,1,11,5,6,0,6,4,1,0,1,0,5,0,1,4,0,2,0
238,2011,1,11,6,27,0,27,21,4,1,1,0,26,0,1,0,0,27,0
239,2011,1,11,7,99,2,97,34,40,13,10,2,76,2,21,71,11,10,7
240,2011,1,11,8,217,3,214,137,28,11,19,22,154,8,55,3,18,158,38
241,2011,1,11,9,130,3,127,69,42,13,3,3,101,6,23,39,50,25,16
242,2011,1,11,10,54,3,51,24,12,12,5,1,54,0,0,2,4,46,2
243,2011,1,11,11,35,4,31,16,8,2,8,1,34,0,1,21,5,3,6
244,2011,1,11,12,57,2,55,26,14,3,5,9,53,1,3,4,12,30,11
245,2011,1,11,13,52,6,46,23,14,1,3,11,48,1,3,12,12,15,13
246,2011,1,11,14,63,3,60,30,20,8,2,3,59,0,4,22,15,16,10
247,2011,1,11,15,47,2,45,22,11,1,7,6,40,2,5,1,0,42,4
248,2011,1,11,16,76,4,72,25,27,8,1,15,61,4,11,19,34,22,1
249,2011,1,11,17,136,6,130,104,21,2,5,4,116,5,15,60,0,52,24
250,2011,1,11,18,95,1,94,65,9,2,4,15,95,0,0,49,6,28,12
251,2011,1,11,19,51,0,51,37,7,3,2,2,41,2,8,18,5,25,3
252,2011,1,11,20,32,0,32,24,3,0,2,3,28,0,4,12,2,18,0
253,2011,1,11,21,20,0,20,11,6,1,2,0,18,0,2,6,2,11,1
254,2011,1,11,22,29,1,28,12,11,2,4,0,25,0,4,6,2,16,5
255,2011,1,11,23,19,1,18,12,5,1,1,0,18,0,1,11,1,5,2
256,2011,1,12,0,7,0,7,4,1,2,0,0,7,0,0,3,0,4,0
257,2011,1,12,1,6,0,6,4,1,1,0,0,5,0,1,1,1,2,2
258,2011,1,12,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
259,2011,1,12,5,5,0,5,3,2,0,0,0,5,0,0,2,0,2,1
260,2011,1,12,6,16,0,16,12,2,1,1,0,14,0,2,6,0,0,10
261,2011,1,12,7,54,0,54,22,15,10,3,4,43,1,10,31,3,18,2
262,2011,1,12,8,128,3,125,95,26,1,3,3,103,0,25,25,4,86,13
263,2011,1,12,9,81,3,78,65,10,1,1,4,78,0,3,7,9,62,3
264,2011,1,12,10,39,0,39,29,5,0,4,1,35,1,3,3,4,32,0
265,2011,1,12,11,35,3,32,14,7,6,6,2,29,2,4,12,4,11,8
266,2011,1,12,12,55,3,52,27,9,6,1,12,49,0,6,24,4,20,7
267,2011,1,12,13,49,0,49,37,4,1,5,2,39,2,8,13,5,15,16
268,2011,1,12,14,44,0,44,29,7,4,0,4,43,0,1,8,14,14,8
269,2011,1,12,15,49,1,48,17,21,1,9,1,43,0,6,17,15,5,12
270,2011,1,12,16,68,5,63,33,25,2,1,7,52,2,14,22,32,14,0
271,2011,1,12,17,139,0,139,47,52,21,12,7,114,1,24,5,5,129,0
272,2011,1,12,18,137,2,135,52,48,10,2,25,100,9,28,86,6,40,5
273,2011,1,12,19,83,1,82,46,11,16,9,1,72,3,8,14,22,5,42
274,2011,1,12,20,56,2,54,29,17,4,3,3,48,2,6,6,24,6,20
275,2011,1,12,21,57,0,57,24,24,3,6,0,56,0,1,4,7,27,19
276,2011,1,12,22,33,1,32,21,5,1,6,0,27,0,6,30,1,1,1
277,2011,1,12,23,20,1,19,7,8,3,2,0,16,0,4,3,0,17,0
278,2011,1,13,0,7,1,6,3,2,1,1,0,6,0,1,0,0,7,0
279,2011,1,13,1,2,0,2,2,0,0,0,0,2,0,0,0,0,1,1
280,2011,1,13,2,2,0,2,1,1,0,0,0,2,0,0,1,1,0,0
281,2011,1,13,3,3,0,3,2,1,0,0,0,3,0,0,0,0,3,0
282,2011,1,13,4,4,0,4,3,1,0,0,0,4,0,0,1,0,3,0
283,2011,1,13,5,3,0,3,1,1,1,0,0,3,0,0,0,1,2,0
284,2011,1,13,6,28,0,28,17,9,1,1,0,26,0,2,5,1,22,0
285,2011,1,13,7,72,0,72,57,10,3,0,2,59,1,12,13,3,56,0
286,2011,1,13,8,202,5,197,74,98,10,1,19,184,4,14,49,1,151,1
287,2011,1,13,9,139,2,137,68,32,15,5,19,131,2,6,74,12,18,35
288,2011,1,13,10,38,2,36,26,5,1,1,5,38,0,0,18,2,18,0
289,2011,1,13,11,37,4,33,27,8,0,1,1,36,0,1,15,0,20,2
290,2011,1,13,12,52,3,49,20,14,13,3,2,49,0,3,5,9,37,1
291,2011,1,13,13,83,2,81,60,16,2,0,5,76,0,7,3,5,42,33
292,2011,1,13,14,42,3,39,13,21,0,5,3,40,0,2,5,9,17,11
293,2011,1,13,15,60,5,55,37,15,1,2,5,56,1,3,0,1,59,0
294,2011,1,13,16,78,2,76,52,10,5,1,10,67,0,11,9,19,17,33
295,2011,1,13,17,162,4,158,67,71,3,3,18,126,9,27,21,6,129,6
296,2011,1,13,18,144,3,141,71,29,5,5,34,111,2,31,117,12,9,6
297,2011,1,13,19,99,1,98,68,17,3,1,10,79,3,17,22,6,67,4
298,2011,1,13,20,64,0,64,50,8,1,3,2,54,2,8,24,14,18,8
299,2011,1,13,21,40,0,40,14,20,6,0,0,36,1,3,1,1,38,0
300,2011,1,13,22,30,0,30,23,2,5,0,0,28,0,2,5,10,9,6
301,2011,1,13,23,15,1,14,10,3,0,2,0,12,0,3,3,3,4,5
302,2011,1,14,0,14,0,14,6,5,2,1,0,13,0,1,2,0,11,1
303,2011,1,14,1,5,0,5,2,2,1,0,0,4,0,1,1,1,3,0
304,2011,1,14,2,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0
305,2011,1,14,3,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
306,2011,1,14,5,8,0,8,4,1,0,3,0,7,0,1,1,0,7,0
307,2011,1,14,6,17,0,17,9,4,3,1,0,16,0,1,11,4,2,0
308,2011,1,14,7,70,0,70,37,12,8,1,12,58,0,12,31,1,14,24
309,2011,1,14,8,158,2,156,66,69,3,16,4,157,0,1,29,0,129,0
310,2011,1,14,9,117,0,117,64,41,0,4,8,89,4,24,3,22,78,14
311,2011,1,14,10,44,4,40,34,5,3,0,2,36,1,7,5,5,26,8
312,2011,1,14,11,53,6,47,27,20,4,1,1,51,1,1,6,3,41,3
313,2011,1,14,12,61,2,59,36,11,7,5,2,49,1,11,2,0,58,1
314,2011,1,14,13,77,4,73,48,15,5,1,8,62,3,12,36,1,34,6
315,2011,1,14,14,64,5,59,30,22,2,5,5,55,2,7,50,1,9,4
316,2011,1,14,15,68,9,59,40,17,3,4,4,65,1,2,18,3,2,45
317,2011,1,14,16,90,3,87,55,21,9,2,3,81,2,7,0,11,38,41
318,2011,1,14,17,159,4,155,70,42,19,8,20,143,2,14,1,28,108,22
319,2011,1,14,18,139,5,134,103,18,6,9,3,106,0,33,6,5,107,21
320,2011,1,14,19,92,3,89,58,15,5,6,8,85,1,6,47,6,14,25
321,2011,1,14,20,68,0,68,34,26,0,2,6,58,2,8,23,10,19,16
322,2011,1,14,21,52,4,48,18,13,21,0,0,49,1,2,12,32,5,3
323,2011,1,14,22,36,2,34,19,6,1,10,0,35,0,1,8,1,23,4
324,2011,1,14,23,27,1,26,11,11,2,3,0,26,0,1,5,1,17,4
325,2011,1,15,0,28,3,25,11,9,5,3,0,22,1,5,6,6,1,15
326,2011,1,15,1,20,2,18,11,7,2,0,0,19,0,1,12,1,7,0
327,2011,1,15,2,12,0,12,5,4,2,1,0,11,0,1,4,3,1,4
328,2011,1,15,3,8,1,7,6,1,1,0,0,7,0,1,1,1,6,0
329,2011,1,15,4,5,0,5,2,1,2,0,0,5,0,0,0,0,5,0
330,2011,1,15,5,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0
331,2011,1,15,6,3,1,2,2,1,0,0,0,3,0,0,0,0,2,1
332,2011,1,15,7,10,1,9,6,2,0,0,2,10,0,0,4,3,3,0
333,2011,1,15,8,23,1,22,12,4,1,3,3,20,1,2,1,0,22,0
334,2011,1,15,9,33,2,31,26,4,1,0,2,28,1,4,7,12,14,0
335,2011,1,15,10,59,2,57,28,19,0,4,8,49,0,10,19,2,26,12
336,2011,1,15,11,72,18,54,26,19,8,4,15,70,0,2,11,5,55,1
337,2011,1,15,12,89,15,74,41,15,5,4,24,80,1,8,31,4,48,6
